-0.6<=w<-0.4 : , 0, 412
-0.4<=w<-0.2 : , 0, 2115
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1793
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1846
0.8<=w<=1 : , 2588, 142
epoch, 28
IH, 0.720191, HO, 0.830343
-1<=w<-0.8 : 6458, 309
-0.8<=w<-0.6 : , 62, 2312
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2119
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1793
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1844
0.8<=w<=1 : , 2593, 140
epoch, 29
IH, 0.713706, HO, 0.829354
-1<=w<-0.8 : 6469, 314
-0.8<=w<-0.6 : , 63, 2305
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2119
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 3, 1793
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 44, 1842
0.8<=w<=1 : , 2593, 139
epoch, 30
IH, 0.70915, HO, 0.823833
-1<=w<-0.8 : 6493, 304
-0.8<=w<-0.6 : , 66, 2302
-0.6<=w<-0.4 : , 0, 416
-0.4<=w<-0.2 : , 0, 2115
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 3, 1793
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1841
0.8<=w<=1 : , 2594, 138
epoch, 31
IH, 0.711314, HO, 0.828836
-1<=w<-0.8 : 6500, 319
-0.8<=w<-0.6 : , 65, 2302
-0.6<=w<-0.4 : , 0, 415
-0.4<=w<-0.2 : , 0, 2117
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 3, 1793
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1840
0.8<=w<=1 : , 2596, 142
epoch, 32
IH, 0.71343, HO, 0.852649
-1<=w<-0.8 : 6539, 310
-0.8<=w<-0.6 : , 66, 2298
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2117
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 3, 1792
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1835
0.8<=w<=1 : , 2591, 140
epoch, 33
IH, 0.718668, HO, 0.860763
-1<=w<-0.8 : 6546, 334
-0.8<=w<-0.6 : , 64, 2292
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2117
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1792
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 44, 1834
0.8<=w<=1 : , 2590, 139
epoch, 34
IH, 0.727434, HO, 0.849073
-1<=w<-0.8 : 6576, 329
-0.8<=w<-0.6 : , 61, 2289
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2114
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1792
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 44, 1832
0.8<=w<=1 : , 2590, 136
epoch, 35
IH, 0.727191, HO, 0.854453
-1<=w<-0.8 : 6582, 346
-0.8<=w<-0.6 : , 64, 2286
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2110
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1791
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 44, 1832
0.8<=w<=1 : , 2591, 136
epoch, 36
IH, 0.734375, HO, 0.867747
-1<=w<-0.8 : 6610, 345
-0.8<=w<-0.6 : , 64, 2282
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2109
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1791
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1830
0.8<=w<=1 : , 2586, 136
epoch, 37
IH, 0.726336, HO, 0.859015
-1<=w<-0.8 : 6642, 342
-0.8<=w<-0.6 : , 63, 2281
-0.6<=w<-0.4 : , 0, 415
-0.4<=w<-0.2 : , 0, 2108
-0.2<=w<0 : , 0, 243
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1791
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1828
0.8<=w<=1 : , 2589, 134
epoch, 38
IH, 0.718868, HO, 0.856532
-1<=w<-0.8 : 6664, 343
-0.8<=w<-0.6 : , 63, 2279
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2107
-0.2<=w<0 : , 0, 244
0<=w<-0.2 : , , 2, 68
