0.6<=w<0.8 : , 5167, 0
0.8<=w<=1 : , 8527, 0
epoch, 36
-1<=w<-0.8 : 8669, 0
-0.8<=w<-0.6 : , 9724, 0
-0.6<=w<-0.4 : , 22345, 0
-0.4<=w<-0.2 : , 91931, 0
-0.2<=w<0 : , 240237, 0
0<=w<-0.2 : , 270430, 0
0.2<=w<0.4 : , 71151, 0
0.4<=w<0.6 : , 9790, 0
0.6<=w<0.8 : , 5099, 0
0.8<=w<=1 : , 9253, 0
epoch, 37
-1<=w<-0.8 : 8388, 0
-0.8<=w<-0.6 : , 9851, 0
-0.6<=w<-0.4 : , 22983, 0
-0.4<=w<-0.2 : , 100330, 0
-0.2<=w<0 : , 237222, 0
0<=w<-0.2 : , 284382, 0
0.2<=w<0.4 : , 69572, 0
0.4<=w<0.6 : , 9505, 0
0.6<=w<0.8 : , 6214, 0
0.8<=w<=1 : , 7928, 0
epoch, 38
-1<=w<-0.8 : 7995, 0
-0.8<=w<-0.6 : , 9105, 0
-0.6<=w<-0.4 : , 19313, 0
-0.4<=w<-0.2 : , 93964, 0
-0.2<=w<0 : , 229393, 0
0<=w<-0.2 : , 270263, 0
0.2<=w<0.4 : , 74908, 0
0.4<=w<0.6 : , 10076, 0
0.6<=w<0.8 : , 5273, 0
0.8<=w<=1 : , 7846, 0
epoch, 39
-1<=w<-0.8 : 8411, 0
-0.8<=w<-0.6 : , 9145, 0
-0.6<=w<-0.4 : , 21729, 0
-0.4<=w<-0.2 : , 94979, 0
-0.2<=w<0 : , 232214, 0
0<=w<-0.2 : , 276191, 0
0.2<=w<0.4 : , 70806, 0
0.4<=w<0.6 : , 10204, 0
0.6<=w<0.8 : , 4379, 0
0.8<=w<=1 : , 8059, 0
epoch, 40
-1<=w<-0.8 : 7608, 0
-0.8<=w<-0.6 : , 9266, 0
-0.6<=w<-0.4 : , 22695, 0
-0.4<=w<-0.2 : , 96786, 0
-0.2<=w<0 : , 237095, 0
0<=w<-0.2 : , 272849, 0
0.2<=w<0.4 : , 74338, 0
0.4<=w<0.6 : , 8964, 0
0.6<=w<0.8 : , 6665, 0
0.8<=w<=1 : , 7548, 0
epoch, 41
-1<=w<-0.8 : 7895, 0
-0.8<=w<-0.6 : , 9266, 0
-0.6<=w<-0.4 : , 22351, 0
-0.4<=w<-0.2 : , 84327, 0
-0.2<=w<0 : , 246758, 0
0<=w<-0.2 : , 266115, 0
0.2<=w<0.4 : , 69709, 0
0.4<=w<0.6 : , 7999, 0
0.6<=w<0.8 : , 5972, 0
0.8<=w<=1 : , 7327, 0
epoch, 42
-1<=w<-0.8 : 8253, 0
-0.8<=w<-0.6 : , 9105, 0
-0.6<=w<-0.4 : , 22032, 0
-0.4<=w<-0.2 : , 92734, 0
-0.2<=w<0 : , 237042, 0
0<=w<-0.2 : , 272020, 0
0.2<=w<0.4 : , 71717, 0
0.4<=w<0.6 : , 9990, 0
0.6<=w<0.8 : , 5065, 0
0.8<=w<=1 : , 8449, 0
epoch, 43
-1<=w<-0.8 : 8082, 0
-0.8<=w<-0.6 : , 9484, 0
-0.6<=w<-0.4 : , 18333, 0
-0.4<=w<-0.2 : , 86576, 0
-0.2<=w<0 : , 253660, 0
0<=w<-0.2 : , 271852, 0
0.2<=w<0.4 : , 75466, 0
0.4<=w<0.6 : , 9423, 0
0.6<=w<0.8 : , 5504, 0
0.8<=w<=1 : , 7914, 0
epoch, 44
-1<=w<-0.8 : 7847, 0
-0.8<=w<-0.6 : , 8544, 0
-0.6<=w<-0.4 : , 20862, 0
-0.4<=w<-0.2 : , 93998, 0
-0.2<=w<0 : , 232562, 0
0<=w<-0.2 : , 259144, 0
0.2<=w<0.4 : , 71232, 0
0.4<=w<0.6 : , 9073, 0
0.6<=w<0.8 : , 4904, 0
0.8<=w<=1 : , 7027, 0
epoch, 45
-1<=w<-0.8 : 7447, 0
-0.8<=w<-0.6 : , 8148, 0
-0.6<=w<-0.4 : , 20218, 0
-0.4<=w<-0.2 : , 92100, 0
-0.2<=w<0 : , 227044, 0
0<=w<-0.2 : , 257439, 0
0.2<=w<0.4 : , 69688, 0
0.4<=w<0.6 : , 9629, 0
0.6<=w<0.8 : , 4515, 0
0.8<=w<=1 : , 7416, 0
epoch, 46
-1<=w<-0.8 : 7394, 0
-0.8<=w<-0.6 : , 8793, 0
-0.6<=w<-0.4 : , 16404, 0
-0.4<=w<-0.2 : , 85900, 0
-0.2<=w<0 : , 231524, 0
0<=w<-0.2 : , 259841, 0
0.2<=w<0.4 : , 67736, 0
