param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 34, 89.69, 89.3122, 1.19169, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 35, 88.8, 89.261, 1.14093, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 36, 89.16, 89.2518, 1.08822, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 37, 88.85, 89.2183, 1.0478, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 38, 90.3, 89.3015, 1.04714, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 39, 89.47, 89.3136, 1.00998, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 40, 89.97, 89.3573, 0.98938, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 41, 89.48, 89.365, 0.958423, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 42, 90.12, 89.4094, 0.946625, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 43, 88.75, 89.3728, 0.932272, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 44, 90.83, 89.4495, 0.963986, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 45, 88.99, 89.4265, 0.944898, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 46, 90.04, 89.4557, 0.931336, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 47, 87.93, 89.3864, 0.963825, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 48, 90.28, 89.4252, 0.960095, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 49, 89, 89.4075, 0.943713, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 50, 89.53, 89.4124, 0.924957, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 51, 90.39, 90.39, 0, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 52, 91.26, 90.825, 0.435, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 53, 85.28, 88.9767, 2.63796, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 54, 90.12, 89.2625, 2.33757, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 55, 91.05, 89.62, 2.20966, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 56, 89.48, 89.5967, 2.01781, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 57, 90.35, 89.7043, 1.88664, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 58, 91.41, 89.9175, 1.85275, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 59, 91.34, 90.0756, 1.80309, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 60, 88.09, 89.877, 1.81131, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 61, 90.68, 89.95, 1.74238, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
