epoch, 1
-0.6<=w<-0.4 : , 0, 0, 3499
-0.4<=w<-0.2 : , 0, 0, 5409
-0.2<=w<0 : , 0, 0, 6147
0<=w<-0.2 : , 0, 0, 6023
0.2<=w<0.4 : , 0, 0, 5119
0.4<=w<0.6 : , 0, 0, 3086
0.6<=w<0.8 : , 0, 0, 2457
0.8<=w<=1 : , 0, 0, 1864
epoch, 6
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3613
-0.8<=w<-0.6 : , 0, 0, 3630
-0.6<=w<-0.4 : , 0, 0, 3461
-0.4<=w<-0.2 : , 0, 0, 5393
-0.2<=w<0 : , 0, 0, 6518
0<=w<-0.2 : , 0, 0, 6333
0.2<=w<0.4 : , 0, 0, 5077
0.4<=w<0.6 : , 0, 0, 2915
0.6<=w<0.8 : , 0, 0, 2333
0.8<=w<=1 : , 0, 0, 1727
epoch, 7
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3536
-0.8<=w<-0.6 : , 0, 0, 3581
-0.6<=w<-0.4 : , 0, 0, 3435
-0.4<=w<-0.2 : , 0, 0, 5412
-0.2<=w<0 : , 0, 0, 6675
0<=w<-0.2 : , 0, 0, 6741
0.2<=w<0.4 : , 0, 0, 4921
0.4<=w<0.6 : , 0, 0, 2822
0.6<=w<0.8 : , 0, 0, 2241
0.8<=w<=1 : , 0, 0, 1636
epoch, 8
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3468
-0.8<=w<-0.6 : , 0, 0, 3488
-0.6<=w<-0.4 : , 0, 0, 3427
-0.4<=w<-0.2 : , 0, 0, 5377
-0.2<=w<0 : , 0, 0, 6963
0<=w<-0.2 : , 0, 0, 6907
0.2<=w<0.4 : , 0, 0, 4893
0.4<=w<0.6 : , 0, 0, 2736
0.6<=w<0.8 : , 0, 0, 2176
0.8<=w<=1 : , 0, 0, 1565
epoch, 9
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3400
-0.8<=w<-0.6 : , 0, 0, 3495
-0.6<=w<-0.4 : , 0, 0, 3345
-0.4<=w<-0.2 : , 0, 0, 5367
-0.2<=w<0 : , 0, 0, 7117
0<=w<-0.2 : , 0, 0, 7130
0.2<=w<0.4 : , 0, 0, 4843
0.4<=w<0.6 : , 0, 0, 2651
0.6<=w<0.8 : , 0, 0, 2173
0.8<=w<=1 : , 0, 0, 1479
epoch, 10
IH, 1, HO, 1
-1<=w<-0.8 : , 3, 0, 3353
-0.8<=w<-0.6 : , 0, 0, 3448
-0.6<=w<-0.4 : , 0, 0, 3342
-0.4<=w<-0.2 : , 0, 0, 5337
-0.2<=w<0 : , 0, 0, 7285
0<=w<-0.2 : , 0, 0, 7272
0.2<=w<0.4 : , 0, 0, 4811
0.4<=w<0.6 : , 0, 0, 2633
0.6<=w<0.8 : , 0, 0, 2072
0.8<=w<=1 : , 0, 0, 1444
epoch, 11
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3337
-0.8<=w<-0.6 : , 0, 0, 3423
-0.6<=w<-0.4 : , 0, 0, 3374
-0.4<=w<-0.2 : , 0, 0, 5275
-0.2<=w<0 : , 0, 0, 7426
0<=w<-0.2 : , 0, 0, 7422
0.2<=w<0.4 : , 0, 0, 4758
0.4<=w<0.6 : , 0, 0, 2571
0.6<=w<0.8 : , 0, 0, 2018
0.8<=w<=1 : , 0, 0, 1396
epoch, 12
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3317
-0.8<=w<-0.6 : , 0, 0, 3411
-0.6<=w<-0.4 : , 0, 0, 3300
-0.4<=w<-0.2 : , 0, 0, 5266
-0.2<=w<0 : , 0, 0, 7563
0<=w<-0.2 : , 0, 0, 7553
0.2<=w<0.4 : , 0, 0, 4707
0.4<=w<0.6 : , 0, 0, 2573
0.6<=w<0.8 : , 0, 0, 1952
0.8<=w<=1 : , 0, 0, 1358
epoch, 13
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3279
-0.8<=w<-0.6 : , 0, 0, 3379
-0.6<=w<-0.4 : , 0, 0, 3295
-0.4<=w<-0.2 : , 0, 0, 5275
-0.2<=w<0 : , 0, 0, 7594
0<=w<-0.2 : , 0, 0, 7659
0.2<=w<0.4 : , 0, 0, 4724
0.4<=w<0.6 : , 0, 0, 2554
0.6<=w<0.8 : , 0, 0, 1924
0.8<=w<=1 : , 0, 0, 1317
epoch, 14
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3264
-0.8<=w<-0.6 : , 0, 0, 3356
-0.6<=w<-0.4 : , 0, 0, 3269
-0.4<=w<-0.2 : , 0, 0, 5314
-0.2<=w<0 : , 0, 0, 7634
0<=w<-0.2 : , 0, 0, 7773
0.2<=w<0.4 : , 0, 0, 4716
0.4<=w<0.6 : , 0, 0, 2519
0.6<=w<0.8 : , 0, 0, 1874
0.8<=w<=1 : , 0, 0, 1281
epoch, 15
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3245
-0.8<=w<-0.6 : , 0, 0, 3293
-0.6<=w<-0.4 : , 0, 0, 3307
-0.4<=w<-0.2 : , 0, 0, 5311
-0.2<=w<0 : , 0, 0, 7795
0<=w<-0.2 : , 0, 0, 7823
0.2<=w<0.4 : , 0, 0, 4644
0.4<=w<0.6 : , 0, 0, 2470
0.6<=w<0.8 : , 0, 0, 1854
0.8<=w<=1 : , 0, 0, 1258
epoch, 16
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3236
-0.8<=w<-0.6 : , 0, 0, 3276
-0.6<=w<-0.4 : , 0, 0, 3304
-0.4<=w<-0.2 : , 0, 0, 5343
-0.2<=w<0 : , 0, 0, 7761
0<=w<-0.2 : , 0, 0, 7926
0.2<=w<0.4 : , 0, 0, 4693
0.4<=w<0.6 : , 0, 0, 2427
0.6<=w<0.8 : , 0, 0, 1801
0.8<=w<=1 : , 0, 0, 1233
epoch, 17
IH, 1, HO, 1
-1<=w<-0.8 : , 1, 0, 3208
-0.8<=w<-0.6 : , 0, 0, 3249
-0.6<=w<-0.4 : , 0, 0, 3293
-0.4<=w<-0.2 : , 0, 0, 5309
-0.2<=w<0 : , 0, 0, 7805
0<=w<-0.2 : , 0, 0, 8103
0.2<=w<0.4 : , 0, 0, 4632
0.4<=w<0.6 : , 0, 0, 2435
0.6<=w<0.8 : , 0, 0, 1767
0.8<=w<=1 : , 0, 0, 1198
epoch, 18
IH, 1, HO, 1
-1<=w<-0.8 : , 0, 0, 3189
-0.8<=w<-0.6 : , 0, 0, 3240
-0.6<=w<-0.4 : , 0, 0, 3263
-0.4<=w<-0.2 : , 0, 0, 5373
-0.2<=w<0 : , 0, 0, 7918
0<=w<-0.2 : , 0, 0, 8021
0.2<=w<0.4 : , 0, 0, 4693
0.4<=w<0.6 : , 0, 0, 2383
0.6<=w<0.8 : , 0, 0, 1726
0.8<=w<=1 : , 0, 0, 1194
epoch, 19
IH, 1, HO, 1
-1<=w<-0.8 : , 1, 0, 3186
-0.8<=w<-0.6 : , 0, 0, 3163
-0.6<=w<-0.4 : , 0, 0, 3280
-0.4<=w<-0.2 : , 0, 0, 5262
-0.2<=w<0 : , 0, 0, 7994
0<=w<-0.2 : , 0, 0, 8237
0.2<=w<0.4 : , 0, 0, 4642
