param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 32, 92.91, 92.6886, 0.225796, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 33, 92.76, 92.6975, 0.212529, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 34, 93.31, 92.7656, 0.277853, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 35, 93.02, 92.791, 0.274425, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 36, 93.06, 92.8155, 0.272842, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 37, 92.24, 92.7675, 0.305836, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 38, 93.62, 92.8331, 0.371409, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 39, 93.09, 92.8514, 0.363963, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 40, 92.91, 92.8553, 0.351925, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 41, 92.97, 92.8625, 0.341879, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 42, 93.36, 92.8918, 0.351722, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 43, 93.78, 92.9411, 0.397784, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 44, 93.69, 92.9805, 0.421744, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 45, 92.74, 92.9685, 0.414394, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 46, 93.4, 92.989, 0.414716, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 47, 93.17, 92.9973, 0.406931, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 48, 93.96, 93.0391, 0.443777, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 49, 93.45, 93.0562, 0.442124, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
