param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, LAp, LAd, pLAd,nLA, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 72, 66.99
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 73, 67.15
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 74, 74.38
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 75, 81.61
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 76, 83.41
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 77, 83.21
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 78, 84.1
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 79, 84.28
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 80, 82.12
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 81, 83.93
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 82, 83.45
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 83, 83.48
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 84, 84.3
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 85, 83.4
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 86, 84.91
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 87, 84.31
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 88, 83.8
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 89, 84.14
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 90, 84.05
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 91, 84.36
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 92, 84.81
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 93, 83.94
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 94, 84.64
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 95, 83.27
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 96, 84.69
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 97, 83.76
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 98, 84.64
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 99, 85.39
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 100, 83.51
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 101, 84.78
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 102, 84.74
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 103, 84.69
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 104, 85
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 105, 84.32
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 106, 84.93
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 107, 85.18
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 108, 84.64
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 109, 85.37
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 110, 84.47
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 111, 85.35
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 112, 84.88
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 113, 85.06
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 114, 85.37
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 115, 85.02
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 116, 85.07
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 117, 85.17
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 118, 85.05
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 119, 85.44
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 120, 84.39
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 121, 84.34
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 122, 84.77
