-0.4<=w<-0.2 : 0, 6620
-0.2<=w<0 : 0, 25554
0<=w<-0.2 : 0, 22349
0.2<=w<0.4 : 0, 5389
0.4<=w<0.6 : 0, 2321
0.6<=w<0.8 : 0, 2781
0.8<=w<=1 : 273, 2224
epoch, 9
IH, 0.928661, HO, 0.999316
-1<=w<-0.8 : 277, 1903
-0.8<=w<-0.6 : 0, 2351
-0.6<=w<-0.4 : 0, 2266
-0.4<=w<-0.2 : 0, 5563
-0.2<=w<0 : 0, 25579
0<=w<-0.2 : 0, 29291
0.2<=w<0.4 : 0, 4236
0.4<=w<0.6 : 0, 1919
0.6<=w<0.8 : 0, 2171
0.8<=w<=1 : 213, 1740
epoch, 10
IH, 0.891379, HO, 1
-1<=w<-0.8 : 212, 1513
-0.8<=w<-0.6 : 0, 1881
-0.6<=w<-0.4 : 0, 1978
-0.4<=w<-0.2 : 0, 4826
-0.2<=w<0 : 0, 23386
0<=w<-0.2 : 0, 36366
0.2<=w<0.4 : 0, 3451
0.4<=w<0.6 : 0, 1587
0.6<=w<0.8 : 0, 1708
0.8<=w<=1 : 166, 1399
epoch, 11
IH, 0.910755, HO, 0.99904
-1<=w<-0.8 : 174, 1285
-0.8<=w<-0.6 : 0, 1599
-0.6<=w<-0.4 : 0, 1795
-0.4<=w<-0.2 : 0, 4272
-0.2<=w<0 : 0, 21168
0<=w<-0.2 : 0, 41608
0.2<=w<0.4 : 0, 3076
0.4<=w<0.6 : 0, 1351
0.6<=w<0.8 : 0, 1460
0.8<=w<=1 : 138, 1162
epoch, 12
IH, 0.920228, HO, 1
-1<=w<-0.8 : 150, 1157
-0.8<=w<-0.6 : 0, 1413
-0.6<=w<-0.4 : 0, 1674
-0.4<=w<-0.2 : 0, 4031
-0.2<=w<0 : 0, 22223
0<=w<-0.2 : 0, 42303
0.2<=w<0.4 : 0, 2877
0.4<=w<0.6 : 0, 1187
0.6<=w<0.8 : 0, 1317
0.8<=w<=1 : 120, 1021
epoch, 13
IH, 0.948805, HO, 1
-1<=w<-0.8 : 131, 1039
-0.8<=w<-0.6 : 0, 1268
-0.6<=w<-0.4 : 0, 1546
-0.4<=w<-0.2 : 0, 3684
-0.2<=w<0 : 0, 19539
0<=w<-0.2 : 0, 46597
0.2<=w<0.4 : 0, 2710
0.4<=w<0.6 : 0, 1078
0.6<=w<0.8 : 0, 1183
0.8<=w<=1 : 108, 910
epoch, 14
IH, 0.937984, HO, 1
-1<=w<-0.8 : 116, 972
-0.8<=w<-0.6 : 0, 1151
-0.6<=w<-0.4 : 0, 1468
-0.4<=w<-0.2 : 0, 3530
-0.2<=w<0 : 0, 22353
0<=w<-0.2 : 0, 44916
0.2<=w<0.4 : 0, 2522
0.4<=w<0.6 : 0, 991
0.6<=w<0.8 : 0, 1066
0.8<=w<=1 : 99, 822
epoch, 15
IH, 0.946903, HO, 0.998538
-1<=w<-0.8 : 101, 877
-0.8<=w<-0.6 : 0, 1067
-0.6<=w<-0.4 : 0, 1335
-0.4<=w<-0.2 : 0, 3259
-0.2<=w<0 : 0, 20805
0<=w<-0.2 : 0, 47717
0.2<=w<0.4 : 0, 2372
0.4<=w<0.6 : 0, 915
0.6<=w<0.8 : 0, 938
0.8<=w<=1 : 90, 741
epoch, 1
IH, 0.993664, HO, 0.999904
-1<=w<-0.8 : 1715, 3721
-0.8<=w<-0.6 : 0, 3976
-0.6<=w<-0.4 : 0, 710
